order_id,order_date,session_id,customer_id,city,category,channel,experiment_group,order_value,discount_pct,delivery_days
O000172,2026-01-10,S0003148,C00788,Hyderabad,Men Casual,Influencer,free_shipping_nudge,1521,30,6
O000173,2026-01-10,S0003164,C03497,Bengaluru,Men Casual,Push,control,1301,20,4
O000174,2026-01-10,S0003166,C03526,Bengaluru,Kids,Organic,free_shipping_nudge,1293,25,4
O000175,2026-01-10,S0003178,C01810,Delhi NCR,Women Ethnic,Organic,free_shipping_nudge,1700,5,4
O000176,2026-01-10,S0003198,C05073,Bengaluru,Kids,Organic,free_shipping_nudge,1333,20,4
O000177,2026-01-10,S0003209,C01731,Delhi NCR,Men Casual,Paid Search,free_shipping_nudge,2268,0,3
O000178,2026-01-10,S0003215,C05104,Mumbai,Beauty,Affiliate,free_shipping_nudge,1260,25,6
O000179,2026-01-10,S0003216,C04147,Mumbai,Kids,Affiliate,free_shipping_nudge,1363,30,5
O000180,2026-01-10,S0003221,C04455,Bengaluru,Footwear,Paid Search,free_shipping_nudge,2703,15,1
O000181,2026-01-10,S0003227,C04785,Mumbai,Men Casual,Paid Search,free_shipping_nudge,1145,30,4
O000182,2026-01-10,S0003246,C03153,Bengaluru,Beauty,Paid Search,free_shipping_nudge,826,20,2
O000183,2026-01-10,S0003249,C01884,Delhi NCR,Men Casual,Paid Search,free_shipping_nudge,1466,30,1
O000184,2026-01-10,S0003252,C00786,Hyderabad,Men Casual,Organic,free_shipping_nudge,871,0,5
O000185,2026-01-11,S0003346,C01523,Bengaluru,Women Ethnic,Influencer,free_shipping_nudge,2475,5,1
O000186,2026-01-11,S0003361,C03979,Bengaluru,Beauty,Influencer,control,1205,5,1
O000187,2026-01-11,S0003386,C00832,Pune,Beauty,Influencer,free_shipping_nudge,926,0,2
O000188,2026-01-11,S0003419,C00178,Delhi NCR,Footwear,Influencer,control,1571,0,4
O000189,2026-01-11,S0003463,C04561,Pune,Women Ethnic,Paid Search,free_shipping_nudge,2111,10,3
O000190,2026-01-11,S0003499,C04442,Jaipur,Men Casual,Organic,control,1926,10,2
O000191,2026-01-11,S0003513,C04884,Hyderabad,Kids,Organic,free_shipping_nudge,1203,0,3
O000192,2026-01-11,S0003519,C03110,Delhi NCR,Men Casual,Organic,control,1586,15,2
O000193,2026-01-11,S0003575,C03939,Mumbai,Women Ethnic,Push,free_shipping_nudge,1147,15,6
O000194,2026-01-11,S0003600,C00521,Hyderabad,Beauty,Paid Search,control,1029,15,5
O000195,2026-01-12,S0003628,C03379,Bengaluru,Men Casual,Paid Search,free_shipping_nudge,2024,20,2
O000196,2026-01-12,S0003666,C01289,Lucknow,Beauty,Paid Search,control,1242,5,6
O000197,2026-01-12,S0003683,C03402,Indore,Kids,Paid Search,free_shipping_nudge,744,25,1
O000198,2026-01-12,S0003691,C03842,Pune,Beauty,Paid Search,control,884,30,1
O000199,2026-01-12,S0003697,C01068,Delhi NCR,Footwear,Organic,free_shipping_nudge,3802,30,1
O000200,2026-01-12,S0003729,C00204,Hyderabad,Beauty,Affiliate,control,1139,0,2
O000201,2026-01-12,S0003730,C01623,Bengaluru,Men Casual,Paid Search,control,1910,25,1
O000202,2026-01-12,S0003759,C03505,Delhi NCR,Footwear,Paid Search,control,1974,10,2
O000203,2026-01-12,S0003769,C01064,Delhi NCR,Men Casual,Affiliate,control,1607,30,5
O000204,2026-01-12,S0003798,C04634,Lucknow,Kids,Organic,free_shipping_nudge,1117,10,4
O000205,2026-01-12,S0003807,C03060,Lucknow,Men Casual,Paid Search,free_shipping_nudge,2100,25,1
O000206,2026-01-12,S0003814,C03150,Mumbai,Beauty,Organic,control,778,25,3
O000207,2026-01-12,S0003843,C04322,Delhi NCR,Men Casual,Paid Search,control,1887,30,4
O000208,2026-01-12,S0003850,C03272,Mumbai,Beauty,Influencer,control,894,10,2
O000209,2026-01-12,S0003853,C01430,Lucknow,Men Casual,Push,free_shipping_nudge,1132,20,3
O000210,2026-01-12,S0003868,C03529,Hyderabad,Women Ethnic,Influencer,control,2927,30,1
O000211,2026-01-12,S0003870,C02224,Hyderabad,Kids,Push,free_shipping_nudge,1677,0,5
O000212,2026-01-13,S0003913,C00493,Lucknow,Men Casual,Paid Search,control,1470,20,5
O000213,2026-01-13,S0003936,C01412,Pune,Beauty,Paid Search,control,1021,30,2
O000214,2026-01-13,S0003952,C02568,Delhi NCR,Men Casual,Organic,free_shipping_nudge,1149,0,3
O000215,2026-01-13,S0003957,C02669,Jaipur,Beauty,Organic,free_shipping_nudge,1059,10,5
O000216,2026-01-13,S0003988,C01990,Bengaluru,Kids,Affiliate,free_shipping_nudge,710,25,1
O000217,2026-01-13,S0004010,C04015,Hyderabad,Men Casual,Organic,free_shipping_nudge,1033,30,4
O000218,2026-01-13,S0004026,C02951,Bengaluru,Footwear,Affiliate,control,2108,20,2
O000219,2026-01-13,S0004041,C01400,Pune,Men Casual,Organic,control,2321,20,5
O000220,2026-01-13,S0004071,C03652,Bengaluru,Men Casual,Influencer,free_shipping_nudge,1216,5,2
O000221,2026-01-13,S0004090,C03885,Delhi NCR,Women Ethnic,Organic,control,2193,25,4
O000222,2026-01-13,S0004102,C02169,Bengaluru,Beauty,Organic,control,1212,20,4
O000223,2026-01-13,S0004132,C00202,Jaipur,Beauty,Paid Search,free_shipping_nudge,840,0,4
O000224,2026-01-13,S0004139,C01573,Mumbai,Beauty,Paid Search,control,872,0,6
O000225,2026-01-14,S0004263,C02866,Delhi NCR,Footwear,Affiliate,free_shipping_nudge,1980,30,3
O000226,2026-01-14,S0004264,C01372,Delhi NCR,Beauty,Organic,control,1181,30,5
O000227,2026-01-14,S0004277,C05046,Mumbai,Footwear,Paid Search,free_shipping_nudge,3011,15,1
O000228,2026-01-14,S0004302,C02210,Bengaluru,Women Ethnic,Organic,control,1244,15,3
O000229,2026-01-14,S0004304,C00876,Bengaluru,Footwear,Paid Search,free_shipping_nudge,501,0,6
O000230,2026-01-14,S0004349,C03968,Pune,Women Ethnic,Affiliate,control,1138,20,5
O000231,2026-01-14,S0004359,C03106,Mumbai,Kids,Paid Search,control,1049,10,6
O000232,2026-01-14,S0004374,C04622,Bengaluru,Beauty,Paid Search,free_shipping_nudge,493,10,3
O000233,2026-01-14,S0004398,C05049,Bengaluru,Men Casual,Organic,free_shipping_nudge,1427,0,5
O000234,2026-01-14,S0004472,C02626,Delhi NCR,Men Casual,Organic,control,387,0,5
O000235,2026-01-15,S0004482,C03144,Bengaluru,Beauty,Paid Search,control,1375,25,6
O000236,2026-01-15,S0004484,C00697,Bengaluru,Women Ethnic,Paid Search,free_shipping_nudge,2015,25,6
O000237,2026-01-15,S0004498,C01278,Hyderabad,Beauty,Affiliate,control,553,15,1
O000238,2026-01-15,S0004500,C03093,Bengaluru,Men Casual,Influencer,free_shipping_nudge,1328,10,1
O000239,2026-01-15,S0004506,C00827,Bengaluru,Kids,Organic,free_shipping_nudge,536,10,2
O000240,2026-01-15,S0004507,C02598,Bengaluru,Women Ethnic,Affiliate,free_shipping_nudge,1503,0,3
O000241,2026-01-15,S0004510,C01086,Bengaluru,Footwear,Affiliate,free_shipping_nudge,2036,10,1
O000242,2026-01-15,S0004522,C01046,Indore,Beauty,Organic,free_shipping_nudge,1074,30,1
O000243,2026-01-15,S0004536,C04480,Jaipur,Women Ethnic,Affiliate,free_shipping_nudge,2536,30,1
O000244,2026-01-15,S0004565,C03160,Bengaluru,Women Ethnic,Organic,free_shipping_nudge,1491,0,2
O000245,2026-01-15,S0004569,C04296,Hyderabad,Kids,Organic,control,1103,25,4
O000246,2026-01-15,S0004578,C00293,Pune,Women Ethnic,Affiliate,free_shipping_nudge,1770,0,4
O000247,2026-01-15,S0004599,C01430,Lucknow,Beauty,Push,control,1302,10,3
O000248,2026-01-15,S0004600,C04377,Bengaluru,Beauty,Organic,free_shipping_nudge,684,5,6
O000249,2026-01-15,S0004609,C00885,Hyderabad,Beauty,Push,control,673,15,6
O000250,2026-01-15,S0004633,C00999,Bengaluru,Men Casual,Influencer,control,1431,20,3
O000251,2026-01-15,S0004656,C03357,Jaipur,Men Casual,Push,control,2010,25,3
O000252,2026-01-15,S0004664,C02617,Hyderabad,Footwear,Organic,free_shipping_nudge,860,30,4
O000253,2026-01-15,S0004687,C03979,Bengaluru,Women Ethnic,Influencer,free_shipping_nudge,1777,10,4
O000254,2026-01-15,S0004696,C02712,Bengaluru,Women Ethnic,Organic,control,1673,10,1
O000255,2026-01-15,S0004726,C02657,Lucknow,Women Ethnic,Influencer,free_shipping_nudge,250,5,2
O000256,2026-01-15,S0004744,C03525,Delhi NCR,Men Casual,Push,control,536,5,4
O000257,2026-01-16,S0004764,C01285,Mumbai,Footwear,Push,control,2167,20,3
O000258,2026-01-16,S0004777,C04093,Pune,Beauty,Affiliate,control,621,15,2
O000259,2026-01-16,S0004786,C04073,Lucknow,Women Ethnic,Push,control,1739,15,6
O000260,2026-01-16,S0004793,C01764,Indore,Beauty,Paid Search,free_shipping_nudge,888,20,6
O000261,2026-01-16,S0004796,C00938,Mumbai,Men Casual,Push,free_shipping_nudge,1141,10,1
O000262,2026-01-16,S0004811,C03599,Indore,Men Casual,Influencer,control,1296,0,1
O000263,2026-01-16,S0004852,C00864,Indore,Women Ethnic,Organic,control,2287,10,1
O000264,2026-01-16,S0004890,C02023,Bengaluru,Men Casual,Affiliate,free_shipping_nudge,2120,0,4
O000265,2026-01-16,S0004891,C00450,Hyderabad,Women Ethnic,Push,control,1500,15,3
O000266,2026-01-16,S0004921,C03954,Pune,Footwear,Push,free_shipping_nudge,1648,30,6
O000267,2026-01-16,S0004949,C04173,Hyderabad,Women Ethnic,Influencer,control,996,15,4
O000268,2026-01-16,S0005029,C03856,Hyderabad,Beauty,Organic,free_shipping_nudge,1160,25,4
O000269,2026-01-16,S0005033,C00435,Hyderabad,Footwear,Organic,free_shipping_nudge,3331,10,3
O000270,2026-01-16,S0005055,C00218,Delhi NCR,Men Casual,Organic,free_shipping_nudge,1627,20,3
O000271,2026-01-16,S0005056,C03459,Indore,Men Casual,Influencer,control,2413,30,3
O000272,2026-01-16,S0005065,C03063,Hyderabad,Footwear,Influencer,free_shipping_nudge,1734,15,3
O000273,2026-01-16,S0005075,C03864,Mumbai,Women Ethnic,Organic,free_shipping_nudge,1850,20,2
O000274,2026-01-16,S0005087,C02222,Bengaluru,Men Casual,Organic,control,1514,25,6
O000275,2026-01-16,S0005106,C01063,Bengaluru,Footwear,Influencer,control,1733,5,6
O000276,2026-01-16,S0005121,C00740,Bengaluru,Women Ethnic,Organic,free_shipping_nudge,1617,0,1
