customer_id,acquired_date,city,segment
C00079,2026-02-24,Lucknow,Loyal
C00080,2026-02-12,Mumbai,High Value
C00081,2026-03-09,Indore,Loyal
C00082,2026-03-15,Mumbai,High Value
C00083,2026-05-23,Pune,Occasional
C00084,2026-02-18,Delhi NCR,High Value
C00085,2026-05-29,Pune,New
C00086,2026-03-22,Bengaluru,Occasional
C00087,2026-05-09,Lucknow,Occasional
C00088,2026-01-15,Indore,New
C00089,2026-02-17,Bengaluru,New
C00090,2026-03-02,Mumbai,Loyal
C00091,2026-05-26,Delhi NCR,Occasional
C00092,2026-06-08,Bengaluru,Occasional
C00093,2026-05-25,Mumbai,Loyal
C00094,2026-02-22,Pune,New
C00095,2026-03-09,Mumbai,Occasional
C00096,2026-03-18,Mumbai,Loyal
C00097,2026-01-19,Bengaluru,Occasional
C00098,2026-05-25,Indore,New
C00099,2026-02-24,Mumbai,New
C00100,2026-03-31,Lucknow,Loyal
C00101,2026-04-05,Delhi NCR,Occasional
C00102,2026-05-20,Pune,Occasional
C00103,2026-06-17,Mumbai,Occasional
C00104,2026-05-22,Delhi NCR,Occasional
C00105,2026-02-04,Delhi NCR,Loyal
C00106,2026-05-22,Bengaluru,New
C00107,2026-02-23,Pune,New
C00108,2026-06-12,Lucknow,Occasional
C00109,2026-03-06,Lucknow,Loyal
C00110,2026-01-24,Hyderabad,Loyal
C00111,2026-01-12,Bengaluru,Loyal
C00112,2026-06-13,Indore,New
C00113,2026-04-24,Hyderabad,Occasional
C00114,2026-01-03,Bengaluru,Loyal
C00115,2026-06-26,Lucknow,Occasional
C00116,2026-04-05,Hyderabad,New
C00117,2026-02-02,Bengaluru,New
C00118,2026-01-11,Lucknow,New
C00119,2026-03-05,Pune,New
C00120,2026-05-24,Lucknow,New
C00121,2026-06-08,Pune,Loyal
C00122,2026-03-02,Lucknow,High Value
C00123,2026-02-15,Lucknow,New
C00124,2026-03-27,Jaipur,New
C00125,2026-06-21,Lucknow,Loyal
C00126,2026-03-10,Bengaluru,Occasional
C00127,2026-04-08,Lucknow,Loyal
C00128,2026-02-26,Delhi NCR,Loyal
C00129,2026-03-31,Delhi NCR,Loyal
C00130,2026-02-28,Delhi NCR,Occasional
C00131,2026-04-13,Delhi NCR,Loyal
C00132,2026-03-13,Delhi NCR,Occasional
C00133,2026-06-23,Indore,Occasional
C00134,2026-01-08,Bengaluru,High Value
C00135,2026-02-15,Hyderabad,High Value
C00136,2026-01-10,Bengaluru,Occasional
C00137,2026-03-22,Mumbai,High Value
C00138,2026-01-30,Mumbai,Occasional
C00139,2026-03-07,Bengaluru,Occasional
C00140,2026-05-14,Indore,Occasional
C00141,2026-06-21,Delhi NCR,Occasional
C00142,2026-06-20,Indore,Occasional
C00143,2026-06-19,Lucknow,Occasional
C00144,2026-03-18,Mumbai,Occasional
C00145,2026-03-25,Mumbai,New
C00146,2026-02-02,Delhi NCR,Occasional
C00147,2026-04-08,Pune,Loyal
C00148,2026-06-07,Hyderabad,New
C00149,2026-01-01,Delhi NCR,New
C00150,2026-05-29,Hyderabad,New
C00151,2026-04-24,Mumbai,New
C00152,2026-05-02,Jaipur,High Value
C00153,2026-02-13,Hyderabad,New
C00154,2026-06-19,Hyderabad,New
C00155,2026-03-02,Pune,New
C00156,2026-02-20,Bengaluru,New
C00157,2026-05-02,Hyderabad,Occasional
C00158,2026-04-27,Mumbai,Occasional
C00159,2026-02-19,Pune,New
C00160,2026-04-13,Delhi NCR,Occasional
C00161,2026-01-02,Lucknow,Loyal
C00162,2026-01-28,Jaipur,New
C00163,2026-06-28,Mumbai,New
C00164,2026-03-05,Lucknow,New
C00165,2026-02-04,Jaipur,Occasional
C00166,2026-05-24,Hyderabad,High Value
C00167,2026-04-24,Hyderabad,Occasional
C00168,2026-05-10,Mumbai,Loyal
C00169,2026-04-25,Lucknow,Occasional
C00170,2026-05-02,Mumbai,Occasional
C00171,2026-06-13,Delhi NCR,Loyal
C00172,2026-05-05,Hyderabad,New
C00173,2026-01-20,Pune,New
C00174,2026-03-27,Delhi NCR,Occasional
C00175,2026-02-05,Bengaluru,New
C00176,2026-02-09,Pune,New
C00177,2026-04-15,Delhi NCR,Occasional
C00178,2026-01-16,Delhi NCR,Occasional
C00179,2026-05-30,Indore,New
C00180,2026-05-28,Mumbai,New
C00181,2026-04-01,Delhi NCR,New
C00182,2026-04-18,Hyderabad,Occasional
C00183,2026-06-04,Lucknow,Occasional
C00184,2026-03-11,Mumbai,New
C00185,2026-03-28,Pune,Loyal
C00186,2026-02-12,Lucknow,Loyal
C00187,2026-06-09,Hyderabad,Loyal
C00188,2026-06-01,Hyderabad,New
C00189,2026-06-14,Mumbai,Loyal
C00190,2026-02-16,Bengaluru,New
C00191,2026-02-24,Mumbai,New
C00192,2026-04-08,Delhi NCR,High Value
C00193,2026-04-18,Delhi NCR,New
C00194,2026-01-05,Pune,New
C00195,2026-03-31,Delhi NCR,New
C00196,2026-06-16,Bengaluru,New
C00197,2026-03-05,Delhi NCR,New
C00198,2026-02-09,Delhi NCR,Occasional
C00199,2026-01-30,Hyderabad,New
C00200,2026-06-29,Delhi NCR,New
C00201,2026-06-05,Hyderabad,Occasional
C00202,2026-01-30,Jaipur,New
C00203,2026-03-21,Bengaluru,New
C00204,2026-03-21,Hyderabad,Loyal
C00205,2026-04-07,Mumbai,Occasional
C00206,2026-01-20,Hyderabad,Loyal
C00207,2026-03-04,Bengaluru,Loyal
C00208,2026-06-25,Hyderabad,New
C00209,2026-05-25,Jaipur,New
C00210,2026-04-20,Pune,New
C00211,2026-06-15,Delhi NCR,Loyal
C00212,2026-05-06,Bengaluru,High Value
C00213,2026-06-12,Lucknow,Occasional
C00214,2026-02-09,Mumbai,Occasional
C00215,2026-06-16,Delhi NCR,Loyal
C00216,2026-05-18,Jaipur,Occasional
C00217,2026-06-01,Delhi NCR,Loyal
C00218,2026-01-23,Delhi NCR,Occasional
C00219,2026-04-29,Hyderabad,Occasional
C00220,2026-03-28,Bengaluru,Loyal
C00221,2026-02-16,Mumbai,New
C00222,2026-03-08,Delhi NCR,Loyal
C00223,2026-06-29,Lucknow,Occasional
C00224,2026-05-13,Indore,New
C00225,2026-04-15,Mumbai,Occasional
C00226,2026-06-26,Mumbai,Occasional
C00227,2026-04-25,Jaipur,New
C00228,2026-02-26,Mumbai,New
C00229,2026-06-19,Hyderabad,Occasional
C00230,2026-05-16,Delhi NCR,High Value
C00231,2026-05-21,Delhi NCR,Occasional
C00232,2026-03-11,Delhi NCR,New
C00233,2026-02-19,Delhi NCR,Occasional
C00234,2026-06-26,Bengaluru,New
C00235,2026-05-04,Delhi NCR,Occasional
C00236,2026-05-15,Hyderabad,High Value
C00237,2026-02-19,Delhi NCR,New
C00238,2026-03-19,Bengaluru,Occasional
C00239,2026-03-12,Bengaluru,New
C00240,2026-03-16,Pune,New
C00241,2026-05-06,Bengaluru,New
C00242,2026-03-14,Mumbai,Occasional
C00243,2026-02-17,Indore,New
C00244,2026-05-03,Bengaluru,New
C00245,2026-05-06,Bengaluru,Occasional
C00246,2026-01-14,Bengaluru,Loyal
C00247,2026-03-19,Bengaluru,New
C00248,2026-05-23,Jaipur,Occasional
C00249,2026-06-08,Delhi NCR,Occasional
C00250,2026-04-26,Lucknow,New
C00251,2026-05-31,Indore,New
C00252,2026-06-08,Bengaluru,High Value
C00253,2026-01-26,Indore,New
C00254,2026-02-24,Delhi NCR,New
C00255,2026-03-03,Bengaluru,New
C00256,2026-01-01,Mumbai,Occasional
C00257,2026-05-01,Delhi NCR,New
C00258,2026-03-14,Pune,Occasional
C00259,2026-06-25,Delhi NCR,New
C00260,2026-06-10,Hyderabad,Loyal
C00261,2026-02-20,Mumbai,Occasional
C00262,2026-06-15,Bengaluru,New
C00263,2026-02-06,Bengaluru,New
C00264,2026-03-20,Hyderabad,Loyal
C00265,2026-03-15,Mumbai,Occasional
C00266,2026-03-19,Pune,Loyal
C00267,2026-05-09,Hyderabad,Occasional
C00268,2026-06-03,Bengaluru,Occasional
C00269,2026-03-24,Hyderabad,New
C00270,2026-02-28,Indore,Loyal
C00271,2026-05-28,Hyderabad,New
C00272,2026-06-22,Jaipur,Occasional
C00273,2026-02-14,Mumbai,Occasional
C00274,2026-03-13,Bengaluru,Occasional
C00275,2026-06-12,Jaipur,High Value
C00276,2026-05-01,Delhi NCR,New
C00277,2026-06-21,Bengaluru,New
C00278,2026-04-16,Pune,New
C00279,2026-04-13,Jaipur,Occasional
C00280,2026-04-27,Bengaluru,New
C00281,2026-01-30,Indore,New
C00282,2026-05-12,Jaipur,New
C00283,2026-05-19,Mumbai,New
C00284,2026-05-13,Delhi NCR,Occasional
C00285,2026-06-10,Mumbai,New
C00286,2026-03-10,Hyderabad,Loyal
C00287,2026-04-23,Lucknow,Occasional
C00288,2026-01-08,Indore,Occasional
C00289,2026-03-03,Pune,New
C00290,2026-01-04,Hyderabad,New
C00291,2026-01-30,Mumbai,New
C00292,2026-02-09,Mumbai,Occasional
C00293,2026-05-11,Pune,New
C00294,2026-05-04,Indore,New
C00295,2026-05-22,Bengaluru,New
C00296,2026-06-03,Mumbai,Loyal
C00297,2026-01-18,Delhi NCR,Loyal
C00298,2026-04-17,Delhi NCR,Loyal
C00299,2026-03-10,Jaipur,New
C00300,2026-03-18,Jaipur,Occasional
C00301,2026-06-18,Mumbai,New
C00302,2026-05-18,Mumbai,New
C00303,2026-05-20,Mumbai,Loyal
C00304,2026-02-18,Indore,New
C00305,2026-04-09,Delhi NCR,Loyal
C00306,2026-01-12,Delhi NCR,Occasional
C00307,2026-04-08,Mumbai,Occasional
C00308,2026-06-16,Indore,Occasional
C00309,2026-01-10,Bengaluru,High Value
C00310,2026-03-26,Lucknow,Loyal
C00311,2026-04-23,Bengaluru,Loyal
C00312,2026-01-04,Pune,New
C00313,2026-06-17,Indore,New
C00314,2026-03-09,Delhi NCR,Occasional
C00315,2026-06-16,Bengaluru,New
C00316,2026-06-22,Lucknow,New
C00317,2026-03-23,Hyderabad,Loyal
C00318,2026-05-05,Lucknow,New
C00319,2026-01-18,Delhi NCR,Occasional
C00320,2026-03-15,Indore,Occasional
C00321,2026-04-22,Indore,Occasional
C00322,2026-01-26,Mumbai,Occasional
C00323,2026-01-08,Bengaluru,Loyal
C00324,2026-03-17,Delhi NCR,Occasional
C00325,2026-03-04,Hyderabad,Occasional
C00326,2026-02-16,Bengaluru,New
C00327,2026-04-08,Hyderabad,New
C00328,2026-05-30,Bengaluru,Occasional
C00329,2026-03-07,Mumbai,Occasional
C00330,2026-04-30,Lucknow,Occasional
C00331,2026-02-10,Bengaluru,Loyal
C00332,2026-05-31,Delhi NCR,High Value
C00333,2026-06-26,Delhi NCR,Loyal
C00334,2026-02-20,Indore,Loyal
C00335,2026-01-28,Delhi NCR,Occasional
C00336,2026-05-28,Delhi NCR,Occasional
C00337,2026-01-06,Indore,Occasional
C00338,2026-03-12,Bengaluru,Loyal
C00339,2026-01-13,Lucknow,Occasional
C00340,2026-03-15,Jaipur,New
C00341,2026-04-01,Delhi NCR,New
C00342,2026-03-06,Pune,Occasional
C00343,2026-06-18,Pune,New
C00344,2026-01-25,Lucknow,Occasional
C00345,2026-03-21,Jaipur,New
C00346,2026-04-04,Pune,New
C00347,2026-03-17,Delhi NCR,New
C00348,2026-02-21,Bengaluru,Occasional
C00349,2026-04-04,Hyderabad,Loyal
C00350,2026-02-12,Delhi NCR,Loyal
C00351,2026-05-04,Indore,New
C00352,2026-03-28,Jaipur,Occasional
C00353,2026-01-20,Bengaluru,High Value
C00354,2026-06-23,Pune,High Value
C00355,2026-05-23,Delhi NCR,Loyal
C00356,2026-01-04,Delhi NCR,New
C00357,2026-04-05,Pune,Occasional
C00358,2026-05-30,Mumbai,Occasional
C00359,2026-04-06,Bengaluru,New
C00360,2026-01-07,Hyderabad,Loyal
C00361,2026-03-25,Lucknow,New
C00362,2026-01-17,Hyderabad,Occasional
C00363,2026-06-29,Delhi NCR,New
C00364,2026-02-05,Bengaluru,New
C00365,2026-05-07,Bengaluru,New
C00366,2026-05-18,Bengaluru,Occasional
C00367,2026-06-21,Indore,Occasional
C00368,2026-05-19,Mumbai,Occasional
C00369,2026-02-09,Lucknow,Occasional
C00370,2026-05-06,Hyderabad,Loyal
C00371,2026-03-13,Bengaluru,New
C00372,2026-04-24,Mumbai,New
C00373,2026-04-03,Bengaluru,Occasional
C00374,2026-05-20,Lucknow,Occasional
C00375,2026-01-16,Mumbai,New
C00376,2026-02-01,Indore,Loyal
C00377,2026-01-24,Pune,Occasional
C00378,2026-06-02,Indore,New
C00379,2026-03-27,Delhi NCR,New
C00380,2026-05-25,Delhi NCR,Loyal
C00381,2026-05-22,Delhi NCR,New
C00382,2026-03-01,Delhi NCR,New
C00383,2026-06-02,Bengaluru,Loyal
C00384,2026-02-07,Indore,Occasional
C00385,2026-02-14,Bengaluru,Loyal
C00386,2026-02-03,Bengaluru,Loyal
C00387,2026-03-02,Hyderabad,New
C00388,2026-03-09,Bengaluru,Occasional
C00389,2026-05-15,Bengaluru,New
C00390,2026-04-25,Jaipur,Occasional
C00391,2026-01-28,Mumbai,New
C00392,2026-06-07,Bengaluru,Loyal
C00393,2026-06-18,Mumbai,Occasional
C00394,2026-01-08,Bengaluru,Occasional
C00395,2026-04-13,Mumbai,New
C00396,2026-04-24,Bengaluru,New
C00397,2026-06-05,Bengaluru,New
C00398,2026-06-09,Hyderabad,Occasional
C00399,2026-03-25,Mumbai,Occasional
C00400,2026-03-17,Mumbai,Occasional
C00401,2026-01-26,Jaipur,New
C00402,2026-06-17,Hyderabad,Occasional
C00403,2026-02-25,Mumbai,Loyal
C00404,2026-04-16,Delhi NCR,Occasional
C00405,2026-04-17,Pune,New
C00406,2026-03-22,Pune,New
C00407,2026-02-09,Pune,Occasional
C00408,2026-01-24,Jaipur,New
C00409,2026-01-25,Pune,New
C00410,2026-02-03,Hyderabad,Occasional
C00411,2026-05-24,Hyderabad,Occasional
C00412,2026-04-16,Delhi NCR,Occasional
C00413,2026-04-19,Lucknow,Occasional
C00414,2026-03-15,Hyderabad,New
C00415,2026-05-28,Mumbai,New
C00416,2026-05-04,Delhi NCR,New
C00417,2026-05-23,Delhi NCR,Occasional
C00418,2026-05-27,Delhi NCR,Occasional
C00419,2026-05-24,Indore,Loyal
C00420,2026-06-07,Pune,Occasional
C00421,2026-06-05,Indore,Loyal
C00422,2026-03-10,Bengaluru,New
C00423,2026-03-21,Indore,New
C00424,2026-02-16,Lucknow,Occasional
C00425,2026-04-13,Bengaluru,Occasional
C00426,2026-01-08,Bengaluru,Occasional
C00427,2026-04-07,Mumbai,New
C00428,2026-04-05,Delhi NCR,New
C00429,2026-05-26,Hyderabad,Loyal
C00430,2026-02-09,Bengaluru,Occasional
C00431,2026-06-22,Bengaluru,Occasional
C00432,2026-04-19,Mumbai,Occasional
C00433,2026-03-11,Delhi NCR,Occasional
C00434,2026-03-30,Mumbai,New
C00435,2026-06-23,Hyderabad,Occasional
C00436,2026-03-20,Bengaluru,New
C00437,2026-06-03,Bengaluru,New
C00438,2026-02-24,Jaipur,Occasional
C00439,2026-03-16,Delhi NCR,New
C00440,2026-04-21,Bengaluru,New
C00441,2026-02-28,Mumbai,Loyal
C00442,2026-04-01,Bengaluru,Loyal
C00443,2026-01-11,Mumbai,Occasional
C00444,2026-01-20,Lucknow,Occasional
C00445,2026-05-27,Mumbai,Occasional
C00446,2026-03-16,Bengaluru,New
C00447,2026-03-25,Bengaluru,Loyal
C00448,2026-04-28,Jaipur,Loyal
C00449,2026-01-23,Mumbai,New
C00450,2026-04-22,Hyderabad,Occasional
C00451,2026-04-12,Lucknow,Occasional
C00452,2026-02-26,Delhi NCR,New
C00453,2026-05-11,Hyderabad,Occasional
C00454,2026-02-19,Lucknow,New
C00455,2026-06-15,Jaipur,New
C00456,2026-02-07,Delhi NCR,New
C00457,2026-02-09,Jaipur,Occasional
C00458,2026-02-15,Indore,Occasional
C00459,2026-04-29,Pune,Occasional
C00460,2026-04-25,Pune,Loyal
C00461,2026-06-14,Hyderabad,Occasional
C00462,2026-06-10,Delhi NCR,Occasional
C00463,2026-05-01,Mumbai,New
C00464,2026-03-12,Hyderabad,New
C00465,2026-01-19,Delhi NCR,Occasional
C00466,2026-01-15,Delhi NCR,New
C00467,2026-06-15,Lucknow,Loyal
C00468,2026-06-07,Hyderabad,New
C00469,2026-05-29,Hyderabad,Loyal
C00470,2026-01-11,Mumbai,Loyal
C00471,2026-06-16,Bengaluru,Occasional
C00472,2026-05-09,Bengaluru,New
C00473,2026-01-27,Jaipur,Loyal
C00474,2026-01-22,Mumbai,New
C00475,2026-03-05,Pune,High Value
C00476,2026-05-15,Mumbai,New
C00477,2026-04-06,Lucknow,New
C00478,2026-03-28,Pune,New
C00479,2026-06-11,Hyderabad,New
C00480,2026-01-25,Hyderabad,New
C00481,2026-03-06,Pune,Occasional
C00482,2026-06-04,Lucknow,New
C00483,2026-05-30,Pune,Loyal
C00484,2026-03-21,Indore,Occasional
C00485,2026-04-11,Bengaluru,Occasional
C00486,2026-01-22,Delhi NCR,New
C00487,2026-03-26,Jaipur,Occasional
C00488,2026-06-25,Lucknow,New
C00489,2026-06-21,Mumbai,New
C00490,2026-04-03,Delhi NCR,High Value
C00491,2026-03-29,Indore,Occasional
C00492,2026-02-27,Indore,New
C00493,2026-03-17,Lucknow,New
C00494,2026-05-19,Jaipur,Loyal
C00495,2026-01-10,Pune,Loyal
C00496,2026-06-08,Bengaluru,New
C00497,2026-02-11,Bengaluru,Occasional
C00498,2026-06-09,Jaipur,New
C00499,2026-04-23,Bengaluru,New
C00500,2026-03-02,Indore,Occasional
C00501,2026-04-25,Delhi NCR,New
C00502,2026-05-01,Lucknow,New
C00503,2026-06-23,Indore,High Value
C00504,2026-04-29,Jaipur,Loyal
C00505,2026-05-09,Mumbai,High Value
C00506,2026-02-21,Jaipur,New
C00507,2026-03-06,Bengaluru,Occasional
C00508,2026-04-06,Hyderabad,New
C00509,2026-05-13,Lucknow,New
C00510,2026-02-11,Delhi NCR,Loyal
C00511,2026-02-07,Jaipur,New
C00512,2026-02-26,Jaipur,Loyal
C00513,2026-01-07,Mumbai,New
C00514,2026-04-06,Delhi NCR,High Value
C00515,2026-04-06,Delhi NCR,New
C00516,2026-01-26,Jaipur,Occasional
C00517,2026-02-07,Bengaluru,New
C00518,2026-05-01,Pune,New
C00519,2026-05-01,Mumbai,New
C00520,2026-01-21,Bengaluru,New
C00521,2026-02-08,Hyderabad,Occasional
C00522,2026-05-16,Mumbai,Loyal
C00523,2026-03-02,Delhi NCR,New
C00524,2026-04-18,Hyderabad,Occasional
C00525,2026-01-17,Bengaluru,Loyal
C00526,2026-06-02,Hyderabad,Occasional
C00527,2026-05-28,Delhi NCR,New
C00528,2026-04-20,Bengaluru,New
C00529,2026-05-27,Mumbai,Occasional
C00530,2026-01-22,Mumbai,New
C00531,2026-05-15,Hyderabad,Loyal
C00532,2026-05-10,Hyderabad,New
C00533,2026-05-01,Bengaluru,New
C00534,2026-04-06,Delhi NCR,New
C00535,2026-01-18,Delhi NCR,Occasional
C00536,2026-06-10,Bengaluru,Occasional
C00537,2026-03-27,Bengaluru,New
C00538,2026-03-28,Jaipur,New
C00539,2026-06-25,Mumbai,Occasional
C00540,2026-06-11,Bengaluru,New
C00541,2026-04-28,Bengaluru,New
C00542,2026-02-21,Lucknow,New
C00543,2026-03-21,Mumbai,High Value
C00544,2026-05-20,Mumbai,New
C00545,2026-06-15,Delhi NCR,New
C00546,2026-01-13,Lucknow,New
C00547,2026-02-01,Jaipur,Occasional
C00548,2026-04-13,Pune,Loyal
C00549,2026-04-09,Delhi NCR,New
C00550,2026-06-27,Mumbai,Loyal
C00551,2026-05-13,Delhi NCR,New
C00552,2026-04-19,Bengaluru,Occasional
C00553,2026-02-16,Hyderabad,New
C00554,2026-01-21,Delhi NCR,New
C00555,2026-04-25,Hyderabad,Occasional
C00556,2026-06-26,Mumbai,Occasional
C00557,2026-04-01,Hyderabad,Occasional
C00558,2026-06-13,Indore,Loyal
C00559,2026-01-20,Pune,New
C00560,2026-05-12,Jaipur,Occasional
C00561,2026-01-08,Bengaluru,Occasional
C00562,2026-04-23,Bengaluru,New
C00563,2026-06-15,Delhi NCR,New
C00564,2026-05-26,Bengaluru,New
C00565,2026-04-26,Indore,New
C00566,2026-01-20,Hyderabad,Occasional
C00567,2026-04-12,Delhi NCR,New
C00568,2026-01-30,Bengaluru,New
C00569,2026-05-13,Mumbai,Occasional
C00570,2026-03-09,Jaipur,Occasional
C00571,2026-02-24,Indore,New
C00572,2026-05-06,Delhi NCR,New
C00573,2026-01-19,Mumbai,Loyal
C00574,2026-04-24,Indore,Loyal
C00575,2026-03-23,Pune,Occasional
C00576,2026-05-21,Hyderabad,Loyal
C00577,2026-02-10,Pune,Loyal
C00578,2026-06-13,Bengaluru,New
C00579,2026-02-27,Bengaluru,New
C00580,2026-02-05,Delhi NCR,Occasional
C00581,2026-04-03,Hyderabad,New
C00582,2026-05-22,Bengaluru,Loyal
C00583,2026-01-17,Delhi NCR,High Value
C00584,2026-05-03,Mumbai,Occasional
C00585,2026-05-28,Bengaluru,High Value
C00586,2026-06-14,Bengaluru,Occasional
C00587,2026-05-13,Delhi NCR,Loyal
C00588,2026-05-22,Hyderabad,New
C00589,2026-02-03,Mumbai,Loyal
C00590,2026-01-15,Jaipur,Occasional
C00591,2026-03-19,Bengaluru,New
C00592,2026-02-27,Delhi NCR,Loyal
C00593,2026-03-14,Lucknow,New
C00594,2026-06-12,Indore,New
C00595,2026-06-10,Delhi NCR,Occasional
C00596,2026-05-09,Hyderabad,Occasional
C00597,2026-05-29,Bengaluru,Occasional
C00598,2026-06-04,Delhi NCR,Loyal
C00599,2026-01-11,Jaipur,New
C00600,2026-01-12,Indore,Loyal
C00601,2026-03-09,Hyderabad,Occasional
C00602,2026-04-17,Hyderabad,New
C00603,2026-06-10,Hyderabad,Occasional
C00604,2026-03-19,Mumbai,Loyal
C00605,2026-06-25,Mumbai,Occasional
C00606,2026-06-26,Bengaluru,Occasional
C00607,2026-05-04,Mumbai,New
C00608,2026-02-06,Delhi NCR,Occasional
C00609,2026-03-30,Indore,New
C00610,2026-04-05,Mumbai,New
C00611,2026-03-03,Mumbai,New
C00612,2026-03-05,Bengaluru,New
C00613,2026-04-09,Lucknow,New
C00614,2026-02-10,Jaipur,Loyal
C00615,2026-03-22,Bengaluru,New
C00616,2026-05-12,Mumbai,Loyal
C00617,2026-05-08,Bengaluru,Loyal
C00618,2026-05-10,Mumbai,New
C00619,2026-05-30,Delhi NCR,New
C00620,2026-05-07,Hyderabad,Loyal
C00621,2026-06-22,Mumbai,Occasional
C00622,2026-01-28,Mumbai,Loyal
C00623,2026-04-04,Jaipur,New
C00624,2026-04-13,Bengaluru,Occasional
C00625,2026-04-03,Hyderabad,New
C00626,2026-05-10,Mumbai,Occasional
C00627,2026-06-09,Pune,New
C00628,2026-01-25,Mumbai,Loyal
C00629,2026-03-28,Hyderabad,New
C00630,2026-02-06,Delhi NCR,Occasional
C00631,2026-05-09,Bengaluru,New
C00632,2026-03-27,Jaipur,Occasional
C00633,2026-02-08,Hyderabad,Occasional
C00634,2026-03-25,Indore,New
C00635,2026-04-11,Indore,Occasional
C00636,2026-03-18,Hyderabad,Occasional
C00637,2026-05-11,Hyderabad,Occasional
C00638,2026-03-18,Mumbai,New
C00639,2026-03-26,Pune,High Value
C00640,2026-05-30,Delhi NCR,Loyal
C00641,2026-06-26,Hyderabad,Occasional
C00642,2026-03-09,Indore,Loyal
C00643,2026-05-29,Hyderabad,Occasional
C00644,2026-05-30,Mumbai,Occasional
C00645,2026-06-08,Jaipur,New
C00646,2026-06-24,Delhi NCR,Occasional
C00647,2026-06-29,Bengaluru,New
C00648,2026-03-22,Mumbai,New
C00649,2026-02-22,Mumbai,Loyal
C00650,2026-05-01,Lucknow,Occasional
C00651,2026-01-16,Pune,Occasional
C00652,2026-05-24,Delhi NCR,Occasional
C00653,2026-05-15,Mumbai,High Value
C00654,2026-04-28,Lucknow,New
C00655,2026-04-01,Pune,Loyal
C00656,2026-06-24,Hyderabad,Occasional
C00657,2026-06-06,Mumbai,High Value
C00658,2026-03-13,Hyderabad,New
C00659,2026-03-18,Jaipur,Occasional
C00660,2026-06-26,Pune,New
C00661,2026-03-31,Hyderabad,Loyal
C00662,2026-03-12,Delhi NCR,Occasional
